Name,Price,Image,Link
Lenovo Yoga Slim 6 Intel Evo Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) 14IAP8 ...,"₹64,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/p/4/-original-imagtzfgwutmyqwy.jpeg?q=70,https://www.flipkart.com/lenovo-yoga-slim-6-intel-evo-core-i5-12th-gen-1240p-16-gb-512-gb-ssd-windows-11-home-14iap8-thin-light-laptop/p/itmae04103d75ff9?pid=COMGTGMTF6BCTA88&lid=LSTCOMGTGMTF6BCTA88B7GBAM&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=db8649ff-fa95-4e11-b674-3ae8dd4353ac.COMGTGMTF6BCTA88.SEARCH&ppt=None&ppn=None&ssid=nh1q4zql7k0000001705745965384&qH=08d5bcbb70e82e43
HP Victus AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹67,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/8/i/j/-original-imagthcbgurdzwuc.jpeg?q=70,https://www.flipkart.com/hp-victus-amd-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fb0137ax-gaming-laptop/p/itmc0108d5fa7687?pid=COMGZUGT3NMUDWFS&lid=LSTCOMGZUGT3NMUDWFSSGDZZI&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=db8649ff-fa95-4e11-b674-3ae8dd4353ac.COMGZUGT3NMUDWFS.SEARCH&ppt=None&ppn=None&ssid=nh1q4zql7k0000001705745965384&qH=08d5bcbb70e82e43
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin a...,"₹44,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/d/n/-original-imaguyhzhbhqe8qj.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-11th-gen-1135g7-16-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm36fec4d6ab322?pid=COMGKC6Y2KA8HMFT&lid=LSTCOMGKC6Y2KA8HMFTCCRJQM&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=db8649ff-fa95-4e11-b674-3ae8dd4353ac.COMGKC6Y2KA8HMFT.SEARCH&ppt=None&ppn=None&ssid=nh1q4zql7k0000001705745965384&qH=08d5bcbb70e82e43
HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Lig...,"₹63,690",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/y/p/-original-imagxfsbuujjwdkd.jpeg?q=70,https://www.flipkart.com/hp-pavilion-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-14-dv2014tu-thin-light-laptop/p/itmb4b81cd1f873f?pid=COMGEG3ZNYZDAYVJ&lid=LSTCOMGEG3ZNYZDAYVJNYHV3Q&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=db8649ff-fa95-4e11-b674-3ae8dd4353ac.COMGEG3ZNYZDAYVJ.SEARCH&ppt=None&ppn=None&ssid=nh1q4zql7k0000001705745965384&qH=08d5bcbb70e82e43
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Thin a...,"₹68,190",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/q/i/-original-imagu3kmp33qgvrs.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-16irl8-thin-light-laptop/p/itm47961696e0d36?pid=COMGRU9ZJUZQFMKY&lid=LSTCOMGRU9ZJUZQFMKYRNL2AO&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=db8649ff-fa95-4e11-b674-3ae8dd4353ac.COMGRU9ZJUZQFMKY.SEARCH&ppt=None&ppn=None&ssid=nh1q4zql7k0000001705745965384&qH=08d5bcbb70e82e43
HP Pavilion (2023) Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin ...,"₹68,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/e/e/-original-imagrgm4ksqy2cg7.jpeg?q=70,https://www.flipkart.com/hp-pavilion-2023-intel-core-i5-13th-gen-1340p-16-gb-512-gb-ssd-windows-11-home-15-eg3079tu-thin-light-laptop/p/itm4ae6958287d36?pid=COMGPYHAMPKQYPQB&lid=LSTCOMGPYHAMPKQYPQBGXMI6J&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=db8649ff-fa95-4e11-b674-3ae8dd4353ac.COMGPYHAMPKQYPQB.SEARCH&ppt=None&ppn=None&ssid=nh1q4zql7k0000001705745965384&qH=08d5bcbb70e82e43
DELL Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) Inspiron 3530 Thin and Light Lapt...,"₹64,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/h/w/-original-imaghzahgukpkyfu.jpeg?q=70,https://www.flipkart.com/dell-intel-core-i5-13th-gen-1335u-16-gb-1-tb-ssd-windows-11-home-inspiron-3530-thin-light-laptop/p/itmde8407c6c5b9d?pid=COMGTQXEPE3ZKHN8&lid=LSTCOMGTQXEPE3ZKHN8JTULYV&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=db8649ff-fa95-4e11-b674-3ae8dd4353ac.COMGTQXEPE3ZKHN8.SEARCH&ppt=None&ppn=None&ssid=nh1q4zql7k0000001705745965384&qH=08d5bcbb70e82e43
DELL Inspiron Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) 3511 Thin and Light La...,"₹43,990",https://rukminim2.flixcart.com/image/312/312/l45xea80/computer/v/c/x/inspiron-3511-thin-and-light-laptop-dell-original-imagf4n2y3uk8jcz.jpeg?q=70,https://www.flipkart.com/dell-inspiron-intel-core-i5-11th-gen-1135g7-8-gb-512-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itm4e6e99cf7a51d?pid=COMGF478XMB8URCH&lid=LSTCOMGF478XMB8URCH52I2AK&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=db8649ff-fa95-4e11-b674-3ae8dd4353ac.COMGF478XMB8URCH.SEARCH&ppt=None&ppn=None&ssid=nh1q4zql7k0000001705745965384&qH=08d5bcbb70e82e43
ASUS TUF Gaming F15 with 90Whr Battery with 90WHr Battery Intel H-Series Intel Core i5 11th Gen 11400H...,"₹64,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/w/b/-original-imagtzvhxxuhzr4g.jpeg?q=70,https://www.flipkart.com/asus-tuf-gaming-f15-90whr-battery-intel-h-series-core-i5-11th-gen-11400h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-75-tgp-fx506hc-hn362ws-laptop/p/itmcee017a21c4f1?pid=COMGMGP5Y5B7HGQM&lid=LSTCOMGMGP5Y5B7HGQM08AWKE&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=db8649ff-fa95-4e11-b674-3ae8dd4353ac.COMGMGP5Y5B7HGQM.SEARCH&ppt=None&ppn=None&ssid=nh1q4zql7k0000001705745965384&qH=08d5bcbb70e82e43
ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11...,"₹65,990",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/h/z/-original-imagqdrxngpdcjzh.jpeg?q=70,https://www.flipkart.com/asus-vivobook-s14-oled-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-km502ws-thin-light-laptop/p/itm93afec5862d72?pid=COMGCG2GXGJGEYUW&lid=LSTCOMGCG2GXGJGEYUWI64YYF&marketplace=FLIPKART&q=laptop+under+70000&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_17_na_na_na&fm=organic&iid=db8649ff-fa95-4e11-b674-3ae8dd4353ac.COMGCG2GXGJGEYUW.SEARCH&ppt=None&ppn=None&ssid=nh1q4zql7k0000001705745965384&qH=08d5bcbb70e82e43
