Name,Price,Image,Link
"MOTOROLA Edge 40 (Eclipse Black, 256 GB)","₹26,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/q/6/edge-40-pay40028in-motorola-original-imagpqzdnhrgvhj7.jpeg?q=70,https://www.flipkart.com/motorola-edge-40-eclipse-black-256-gb/p/itmbe5b18bf1f229?pid=MOBGKHNBY3JZJHTB&lid=LSTMOBGKHNBY3JZJHTBAAOHOJ&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGKHNBY3JZJHTB.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"MOTOROLA Edge 40 (Nebula Green, 256 GB)","₹26,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/m/o/edge-40-pay40030in-motorola-original-imagpqzchzhg6fex.jpeg?q=70,https://www.flipkart.com/motorola-edge-40-nebula-green-256-gb/p/itmaa0bf9c327a2b?pid=MOBGKHNBTVZZU8PH&lid=LSTMOBGKHNBTVZZU8PHORDDSI&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGKHNBTVZZU8PH.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"REDMI Note 13 Pro 5G (Coral Purple, 128 GB)","₹25,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/y/5/-original-imagwu894yyhyyce.jpeg?q=70,https://www.flipkart.com/redmi-note-13-pro-5g-coral-purple-128-gb/p/itm810ee84cdaac6?pid=MOBGWFHFGWZVVYSK&lid=LSTMOBGWFHFGWZVVYSKYJV811&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGWFHFGWZVVYSK.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹27,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/k/m/11-pro-5g-rmx3741-realme-original-imagq6asfa6hg5eu.jpeg?q=70,https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-256-gb/p/itm5647cce338e55?pid=MOBGPU8HQQYQN8XT&lid=LSTMOBGPU8HQQYQN8XTJSUCKP&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGPU8HQQYQN8XT.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"realme 11 Pro 5G (Sunrise Beige, 256 GB)","₹27,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/8/d/-original-imagqadpnygfnn2v.jpeg?q=70,https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-256-gb/p/itm3f783627a36ec?pid=MOBGPUNGNFZTHKHG&lid=LSTMOBGPUNGNFZTHKHGVH5UF3&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGPUNGNFZTHKHG.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"MOTOROLA Edge 40 (Viva Magenta, 256 GB)","₹26,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/a/k/-original-imagqx45wnzbh25s.jpeg?q=70,https://www.flipkart.com/motorola-edge-40-viva-magenta-256-gb/p/itm05e373bd204cb?pid=MOBGPJZABN3GPDZ7&lid=LSTMOBGPJZABN3GPDZ7NLCAGR&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGPJZABN3GPDZ7.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"REDMI Note 13 Pro 5G (Coral Purple, 256 GB)","₹27,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/y/5/-original-imagwu894yyhyyce.jpeg?q=70,https://www.flipkart.com/redmi-note-13-pro-5g-coral-purple-256-gb/p/itmc22127928b44d?pid=MOBGWFHFAFBPDZHG&lid=LSTMOBGWFHFAFBPDZHG6MBIZB&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGWFHFAFBPDZHG.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"REDMI Note 13 Pro 5G (Midnight Black, 128 GB)","₹25,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/1/s/-original-imagwu89jy5ems28.jpeg?q=70,https://www.flipkart.com/redmi-note-13-pro-5g-midnight-black-128-gb/p/itmfacedc874d7a5?pid=MOBGWFHFKHZDTC8Z&lid=LSTMOBGWFHFKHZDTC8ZMLDZKK&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGWFHFKHZDTC8Z.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"OnePlus Nord CE3 5G (Aqua Surge, 256 GB)","₹27,529",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/6/1/nord-ce3-5g-nord-ce3-5g-oneplus-original-imags44dzvsqjkw6.jpeg?q=70,https://www.flipkart.com/oneplus-nord-ce3-5g-aqua-surge-256-gb/p/itm95b25bfcca817?pid=MOBGS45CEU4ZGYWY&lid=LSTMOBGS45CEU4ZGYWYOJ8TR2&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGS45CEU4ZGYWY.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"realme 11 Pro 5G (Astral Black, 256 GB)","₹27,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/t/2/11-pro-5g-rmx3771-realme-original-imagq6aszgmb4xja.jpeg?q=70,https://www.flipkart.com/realme-11-pro-5g-astral-black-256-gb/p/itm3f783627a36ec?pid=MOBGPUNGDGRHGTDW&lid=LSTMOBGPUNGDGRHGTDWGNQYBK&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGPUNGDGRHGTDW.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"MOTOROLA Edge 40 (Lunar Blue, 256 GB)","₹26,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/i/x/edge-40-pay40029in-motorola-original-imagpqzcmuz7yzhx.jpeg?q=70,https://www.flipkart.com/motorola-edge-40-lunar-blue-256-gb/p/itm32e082b2d4213?pid=MOBGKHNBYGH5KHJ9&lid=LSTMOBGKHNBYGH5KHJ9JGONZB&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGKHNBYGH5KHJ9.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹29,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/k/m/11-pro-5g-rmx3741-realme-original-imagq6asfa6hg5eu.jpeg?q=70,https://www.flipkart.com/realme-11-pro-5g-sunrise-beige-256-gb/p/itm5647cce338e55?pid=MOBGPU8HQPGU7HVR&lid=LSTMOBGPU8HQPGU7HVRYDHQ4Y&marketplace=FLIPKART&q=smartphone+under+30000&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=71ffb2df-71bc-4aeb-b402-798155633d96.MOBGPU8HQPGU7HVR.SEARCH&ppt=None&ppn=None&ssid=ztetpgh5vk0000001705741496134&qH=f86e97a4fe2b10a6
